Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Is_Malicious
53,82600792,2,2,90,236,50,40,45.0,7.071067812,132,104,118.0,19.79898987,3.946693392,0.048425686,27500000.0,47500000.0,82400000,60699,82400000,82400000.0,0.0,82400000,82400000,82500000,82500000.0,0.0,82500000,82500000,0,40,52,0.024212843,0.024212843,40,132,73.2,42.27528829,1787.2,0,0,0,0,0,1,91.5,45.0,118.0,2,90,2,236,-1,-1,1,20,60699.0,0.0,60699,60699,82400000.0,0.0,82400000,82400000,0
443,209,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,9569.3779904306,209.0,0.0,209,209,209,209.0,0.0,209,209,0,0.0,0.0,0,0,0,64,0,9569.3779904306,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,2,0,0,0,613,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
443,8009015,109,182,8905,313097,792,0,81.69724771,191.168798,4344,0,1720.313187,807.8946076,40204.94405,36.33405606,27617.2931,295005.0903,5000597,1,3008418,27855.72222,52329.26905,235534,48,7899216,43642.07735,374058.9728,5000756,1,0,3496,5832,13.60966361,22.72439245,0,4344,1102.746575,1026.036117,1052750.114,0,0,1,0,0,1,1106.536082,81.69724771,1720.313187,109,8905,182,313097,29200,401,18,32,0.0,0.0,0,0,0.0,0.0,0,0,0
54183,129,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,93023.25581,15503.87597,129.0,0.0,129,129,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,20,20,7751.937984,7751.937984,6,6,6.0,0.0,0.0,0,0,0,1,1,1,9.0,6.0,6.0,1,6,1,6,29,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
8080,104882,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,3251.272859,66.74167159,17480.33333,41779.5816,102760,20,104882,34960.66667,59970.78763,104208,20,103433,51716.5,72186.40997,102760,673,0,92,72,38.13809805,28.60357354,0,195,42.625,75.57576615,5711.696429,0,0,1,0,0,0,48.71428571,51.75,44.66666667,4,207,3,134,8192,237,3,20,0.0,0.0,0,0,0.0,0.0,0,0,1
8080,63453,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,5358.296692,110.3178731,10575.5,24752.40184,61095,47,63453,21151.0,36084.8321,62817,47,61854,30927.0,42663.99475,61095,759,0,92,72,63.03878461,47.27908846,0,194,42.5,75.2880184,5668.285714,0,0,1,0,0,0,48.57142857,51.5,44.66666667,4,206,3,134,8192,237,3,20,0.0,0.0,0,0,0.0,0.0,0,0,1
8080,68082,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,5008.66602,102.817191,11347.0,25980.81016,64346,19,68082,22694.0,38734.2468,67419,19,64969,32484.5,45058.96542,64346,623,0,92,72,58.75268059,44.06451044,0,195,42.625,75.57576615,5711.696429,0,0,1,0,0,0,48.71428571,51.75,44.66666667,4,207,3,134,8192,237,3,20,0.0,0.0,0,0,0.0,0.0,0,0,1
3013,21,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,571428.5714,95238.09524,21.0,0.0,21,21,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,20,20,47619.04762,47619.04762,6,6,6.0,0.0,0.0,0,0,0,1,1,1,9.0,6.0,6.0,1,6,1,6,237,16393,0,20,0.0,0.0,0,0,0.0,0.0,0,0,1
21,4,2,0,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,3500000.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,1,64,0,500000.0,0.0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,1,0,0,14.0,7.0,0.0,2,14,0,0,229,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
21,8302611,9,15,108,188,23,0,12.0,9.682458366,34,0,12.53333333,14.54975045,35.65143543,2.890656927,360983.087,935412.1272,2840578,1,5684480,710560.0,1313289.388,2883066,1,8302473,593033.7857,1154374.762,2840578,4,0,296,488,1.083996348,1.806660579,0,34,11.84,12.68424219,160.89,0,0,1,0,0,1,12.33333333,12.0,12.53333333,9,108,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,1
